report_date,symbol,Open,Close,High,Low,Volume
2009-05-01,SPY,87.44,87.89,88.21,86.72,236110300
2009-05-04,SPY,88.55,90.88,90.94,88.38,287120000
2009-05-05,SPY,90.57,90.57,90.93,89.84,243036300
2009-05-06,SPY,91.68,92.14,92.2,90.61,291941000
2009-05-07,SPY,93.01,90.86,93.15,90.28,317728000
2009-05-08,SPY,92.03,92.98,93.22,91.44,299081700
2009-05-11,SPY,91.7,91.24,92.11,91.04,247923600
2009-05-12,SPY,91.63,90.97,91.83,89.85,282431300
2009-05-13,SPY,89.74,88.68,90.01,88.5,269619100
2009-05-14,SPY,88.72,89.44,90.12,88.5,260098700
2009-05-15,SPY,89.37,88.71,90.0,88.15,271502700
2009-05-18,SPY,89.55,91.23,91.34,88.57,241447400
2009-05-19,SPY,91.18,91.12,91.97,90.81,206102200
2009-05-20,SPY,91.95,90.51,92.8,90.41,285722200
2009-05-21,SPY,89.46,89.21,89.8,88.26,258988400
2009-05-22,SPY,89.46,89.02,90.0,88.68,166811900
2009-05-26,SPY,88.36,91.3,91.56,88.32,236318500
2009-05-27,SPY,91.44,89.67,91.75,89.53,246015800
2009-05-28,SPY,90.46,90.92,91.34,89.1,289095000
2009-05-29,SPY,91.42,92.53,93.7,90.68,258641500
2009-06-01,SPY,93.67,94.77,95.17,93.43,276246800
2009-06-02,SPY,94.4,94.85,95.37,94.23,230874500
2009-06-03,SPY,94.04,93.65,94.13,92.76,235310500
2009-06-04,SPY,94.0,94.53,94.67,93.3,210102300
2009-06-05,SPY,95.49,94.55,95.67,93.8,284257900
2009-06-08,SPY,93.84,94.16,95.1,93.04,238565100
2009-06-09,SPY,94.69,94.64,95.14,94.02,225125500
2009-06-10,SPY,95.48,94.4,95.49,93.19,296100400
2009-06-11,SPY,94.58,94.82,96.11,94.56,275414200
2009-06-12,SPY,94.4,95.08,95.14,94.0,184361800
2009-06-15,SPY,93.96,92.9,94.02,92.4,224190500
2009-06-16,SPY,93.23,91.64,93.29,91.58,227319000
2009-06-17,SPY,91.6,91.55,92.33,90.83,223445200
2009-06-18,SPY,91.69,92.22,92.67,91.25,211725100
2009-06-19,SPY,92.58,92.04,92.7,91.52,215655600
2009-06-22,SPY,91.14,89.28,91.19,89.25,251913600
2009-06-23,SPY,89.47,89.35,89.88,88.85,188309800
2009-06-24,SPY,90.16,90.12,91.08,89.6,211577700
2009-06-25,SPY,89.67,92.08,92.17,89.57,279411000
2009-06-26,SPY,91.77,91.84,92.24,91.27,167579000
2009-06-29,SPY,92.11,92.7,92.82,91.6,168481300
2009-06-30,SPY,92.72,91.95,93.06,91.27,228888200
2009-07-01,SPY,92.34,92.33,93.23,92.21,173041100
2009-07-02,SPY,91.13,89.81,92.36,89.76,212309900
